sim_day,date,year,month,day,jrr,savage,lsen,occ,pat,por_nat,below_por,lfalls_nat
309,2039-08-05,2039,8,5,36,4,0,5,1,436,69,546
310,2039-08-06,2039,8,6,28,4,0,4,1,421,63,530
311,2039-08-07,2039,8,7,26,3,0,4,1,408,56,492
312,2039-08-08,2039,8,8,24,2,0,4,1,401,60,453
313,2039-08-09,2039,8,9,32,2,0,4,1,399,56,434
314,2039-08-10,2039,8,10,32,3,0,4,1,395,53,426
315,2039-08-11,2039,8,11,28,3,0,4,1,388,52,418
316,2039-08-12,2039,8,12,26,2,0,4,1,379,49,412
317,2039-08-13,2039,8,13,23,2,0,4,1,363,47,410
318,2039-08-14,2039,8,14,23,2,5,9,1,365,83,450
319,2039-08-15,2039,8,15,19,2,4,21,1,389,136,505
320,2039-08-16,2039,8,16,17,2,3,17,1,409,117,496
321,2039-08-17,2039,8,17,16,2,2,10,1,394,95,487
322,2039-08-18,2039,8,18,14,2,2,7,1,378,69,460
323,2039-08-19,2039,8,19,13,1,2,4,1,366,57,439
324,2039-08-20,2039,8,20,11,1,5,7,7,356,55,476
325,2039-08-21,2039,8,21,10,1,6,14,14,362,134,501
326,2039-08-22,2039,8,22,10,1,3,10,1,401,233,476
327,2039-08-23,2039,8,23,10,1,2,7,1,418,189,471
328,2039-08-24,2039,8,24,10,1,12,12,20,421,151,670
329,2039-08-25,2039,8,25,10,1,7,12,17,422,147,683
330,2039-08-26,2039,8,26,26,3,61,45,82,596,531,1148
331,2039-08-27,2039,8,27,38,3,12,55,30,781,438,1206
332,2039-08-28,2039,8,28,45,3,3,69,19,801,292,1133
333,2039-08-29,2039,8,29,45,4,3,49,12,793,219,1100
334,2039-08-30,2039,8,30,40,4,2,32,11,776,177,995
335,2039-08-31,2039,8,31,34,3,2,20,9,731,144,896
336,2039-09-01,2039,9,1,32,3,2,15,9,558,124,836
337,2039-09-02,2039,9,2,28,3,2,12,8,444,116,788
338,2039-09-03,2039,9,3,24,3,2,10,8,550,112,639
339,2039-09-04,2039,9,4,23,2,16,9,27,551,109,817
340,2039-09-05,2039,9,5,32,3,21,96,157,465,216,1055
341,2039-09-06,2039,9,6,77,6,23,239,109,873,617,1441
342,2039-09-07,2039,9,7,86,8,9,221,34,1020,676,1328
343,2039-09-08,2039,9,8,71,6,13,97,36,1187,385,1524
344,2039-09-09,2039,9,9,66,6,13,55,43,1337,261,1627
345,2039-09-10,2039,9,10,60,5,17,150,77,1425,287,2046
346,2039-09-11,2039,9,11,53,4,6,77,33,1348,219,1729
347,2039-09-12,2039,9,12,49,4,4,46,29,1241,195,1640
348,2039-09-13,2039,9,13,45,3,4,34,27,1184,173,1541
349,2039-09-14,2039,9,14,43,3,3,26,25,1154,153,1459
350,2039-09-15,2039,9,15,41,3,5,21,33,1123,144,1390
351,2039-09-16,2039,9,16,38,2,96,147,203,1321,638,2538
352,2039-09-17,2039,9,17,44,3,26,480,142,1587,1440,3292
353,2039-09-18,2039,9,18,41,3,9,139,89,1512,709,2597
354,2039-09-19,2039,9,19,38,2,7,78,68,1436,464,2140
355,2039-09-20,2039,9,20,36,2,6,61,60,1265,364,1926
356,2039-09-21,2039,9,21,31,2,27,137,114,1176,392,2134
357,2039-09-22,2039,9,22,34,2,18,204,91,1169,504,2042
358,2039-09-23,2039,9,23,31,2,8,129,71,1073,461,1821
359,2039-09-24,2039,9,24,30,2,7,89,66,995,392,1692
360,2039-09-25,2039,9,25,28,2,6,67,61,979,350,1594
361,2039-09-26,2039,9,26,26,2,6,56,59,975,312,1417
362,2039-09-27,2039,9,27,24,2,6,46,51,948,278,1310
363,2039-09-28,2039,9,28,24,2,7,104,53,983,411,1369
364,2039-09-29,2039,9,29,24,1,6,80,47,984,350,1452
365,2039-09-30,2039,9,30,43,3,46,1696,127,1499,2910,2671
366,2039-10-01,2039,10,1,43,3,9,790,68,1603,2650,3802
367,2039-10-02,2039,10,2,39,3,7,385,60,1526,1227,3237
368,2039-10-03,2039,10,3,34,3,7,191,55,1516,662,2351
369,2039-10-04,2039,10,4,32,3,11,121,61,1394,465,2206
370,2039-10-05,2039,10,5,39,3,18,196,68,1388,789,2192
371,2039-10-06,2039,10,6,38,3,8,139,56,1258,659,2049
372,2039-10-07,2039,10,7,36,3,7,105,53,1194,465,1949
373,2039-10-08,2039,10,8,32,3,7,98,48,1128,412,1780
374,2039-10-09,2039,10,9,30,2,6,85,47,1092,361,1642
375,2039-10-10,2039,10,10,40,3,18,94,73,1095,659,1704
376,2039-10-11,2039,10,11,45,4,7,106,55,1113,934,1744
377,2039-10-12,2039,10,12,45,4,7,95,50,1095,628,1760
378,2039-10-13,2039,10,13,45,4,7,81,50,1074,462,1649
379,2039-10-14,2039,10,14,45,4,7,80,50,1044,404,1603
380,2039-10-15,2039,10,15,43,4,7,76,47,1032,384,1559
381,2039-10-16,2039,10,16,43,4,6,73,46,1021,368,1524
382,2039-10-17,2039,10,17,41,4,6,71,46,985,357,1484
383,2039-10-18,2039,10,18,41,3,7,66,50,958,355,1474
384,2039-10-19,2039,10,19,39,3,6,64,46,958,349,1396
385,2039-10-20,2039,10,20,39,3,7,62,49,956,332,1389
386,2039-10-21,2039,10,21,39,3,7,62,49,956,337,1412
387,2039-10-22,2039,10,22,36,3,6,62,47,947,321,1354
388,2039-10-23,2039,10,23,32,3,6,61,46,925,311,1276
389,2039-10-24,2039,10,24,32,3,6,59,44,896,307,1261
390,2039-10-25,2039,10,25,32,3,6,57,43,859,299,1211
391,2039-10-26,2039,10,26,32,3,6,56,42,851,293,1184
392,2039-10-27,2039,10,27,29,3,5,51,42,848,282,1162
393,2039-10-28,2039,10,28,28,3,5,50,42,849,278,1147
394,2039-10-29,2039,10,29,26,3,5,48,41,848,278,1131
395,2039-10-30,2039,10,30,26,3,5,47,41,849,272,1123
396,2039-10-31,2039,10,31,26,3,5,46,40,852,266,1111
397,2039-11-01,2039,11,1,24,3,4,45,39,851,254,1111
398,2039-11-02,2039,11,2,26,3,6,44,42,847,278,1118
399,2039-11-03,2039,11,3,60,4,7,67,43,911,320,1151
400,2039-11-04,2039,11,4,75,9,6,96,42,950,324,1182
401,2039-11-05,2039,11,5,71,9,5,78,41,979,312,1182
402,2039-11-06,2039,11,6,68,8,5,72,40,982,303,1187
403,2039-11-07,2039,11,7,68,8,5,67,38,982,282,1189
404,2039-11-08,2039,11,8,66,7,5,65,37,1006,278,1189
405,2039-11-09,2039,11,9,64,6,5,63,37,1017,277,1189
406,2039-11-10,2039,11,10,60,5,5,60,36,1030,277,1189
407,2039-11-11,2039,11,11,56,4,5,52,35,1035,277,1189
408,2039-11-12,2039,11,12,54,4,5,47,34,1061,276,1189
409,2039-11-13,2039,11,13,53,4,5,41,33,1072,272,1189
410,2039-11-14,2039,11,14,51,4,5,38,33,1081,268,1198
411,2039-11-15,2039,11,15,49,4,4,38,33,1086,255,1198
412,2039-11-16,2039,11,16,47,3,4,35,33,1096,246,1332
413,2039-11-17,2039,11,17,47,3,4,35,33,1107,231,1333
414,2039-11-18,2039,11,18,45,3,4,34,32,1109,212,1333
415,2039-11-19,2039,11,19,43,3,4,34,31,1123,199,1333
416,2039-11-20,2039,11,20,36,3,4,32,31,1130,197,1333
417,2039-11-21,2039,11,21,45,3,4,31,30,1126,184,1319
418,2039-11-22,2039,11,22,45,3,4,30,29,1109,178,1232
419,2039-11-23,2039,11,23,43,3,4,28,30,1109,177,1211
420,2039-11-24,2039,11,24,38,3,4,28,28,1109,174,1198
421,2039-11-25,2039,11,25,43,3,4,24,29,1073,176,1187
422,2039-11-26,2039,11,26,51,3,6,28,35,1067,177,1168
423,2039-11-27,2039,11,27,135,15,28,116,57,1123,318,1447
424,2039-11-28,2039,11,28,101,15,6,73,42,1131,345,1412
425,2039-11-29,2039,11,29,86,12,5,56,40,1131,278,1412
426,2039-11-30,2039,11,30,84,9,5,40,38,1131,243,1412
427,2039-12-01,2039,12,1,71,5,5,34,37,1126,236,1350
428,2039-12-02,2039,12,2,66,4,5,27,36,1109,228,1368
429,2039-12-03,2039,12,3,62,4,4,26,35,1111,217,1359
430,2039-12-04,2039,12,4,58,4,4,24,35,1131,203,1326
431,2039-12-05,2039,12,5,60,4,4,24,35,1144,191,1315
432,2039-12-06,2039,12,6,58,4,14,46,41,1188,205,1359
