date_time,gw_va_shen,p_va_shen,sw_va_shen,r_va_shen,gw_va_nova,p_va_nova,sw_va_nova,r_va_nova,gw_md_cent,p_md_cent,sw_md_cent,r_md_cent,gw_md_west,p_md_west,sw_md_west,r_md_west,region_md_cent,region_md_west
2038-10-12,0,3,3,2,2,2,0,2,2,2,3,2,2,2,1,2,2,1
2038-10-13,0,3,3,2,2,2,0,2,2,2,3,2,2,2,1,2,2,1
2038-10-14,0,3,3,2,2,3,0,2,2,2,3,2,2,2,1,2,2,1
2038-10-15,0,3,3,2,2,3,1,2,2,2,3,2,2,2,1,2,2,1
2038-10-16,0,3,3,2,2,3,2,2,2,2,3,2,2,2,1,2,2,1
2038-10-17,0,3,3,2,2,3,3,2,2,2,3,2,2,2,1,2,2,1
2038-10-18,0,3,3,2,2,3,3,2,2,2,2,2,2,2,1,2,2,1
2038-10-19,0,3,3,2,2,3,3,2,2,2,2,2,2,2,1,2,2,1
2038-10-20,0,3,3,2,2,3,3,2,2,2,2,2,2,2,1,2,2,1
2038-10-21,0,3,3,2,2,3,3,2,2,2,2,2,2,2,1,2,2,1
2038-10-22,0,3,3,2,2,3,3,2,2,2,2,2,2,2,1,2,2,1
2038-10-23,0,3,3,2,2,3,3,2,2,2,2,2,2,2,1,2,2,1
2038-10-24,0,3,3,2,2,3,3,2,2,2,2,2,2,2,1,2,2,1
2038-10-25,0,3,3,2,2,3,3,2,2,2,2,2,2,2,1,2,2,1
2038-10-26,0,3,3,2,2,3,3,2,2,2,2,2,2,2,1,2,2,1
2038-10-27,0,3,3,2,2,3,3,2,2,2,2,2,2,2,1,2,2,1
2038-10-28,0,3,3,2,2,3,3,2,2,2,2,2,2,2,1,2,2,1
2038-10-29,0,3,3,2,2,3,3,2,2,2,2,2,2,2,1,2,2,1
2038-10-30,0,3,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2
2038-10-31,0,3,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2
2038-11-01,1,3,3,2,1,3,3,2,2,2,2,2,2,2,2,2,3,2
2038-11-02,1,3,3,2,1,3,3,2,2,2,2,2,2,2,2,2,3,2
2038-11-03,1,3,3,2,1,3,3,2,2,2,2,2,2,2,2,2,3,2
